montant_ht;quantite;sous_total;id_commande;id_produit
25.99;1;31.19;1;73
4.99;2;11.98;1;98
10.99;3;39.57;1;104
25.99;2;62.38;2;73
4.99;2;11.98;2;98
10.99;3;39.57;2;104
15.99;3;57.57;3;68
5.50;6;34.80;4;8
5.99;2;14.38;4;108
59.99;1;71.99;4;50
25.99;2;62.38;5;75
4.99;3;17.97;5;91
25.99;1;31.19;6;72
5.99;5;35.95;6;108
4.99;4;23.96;6;99
19.99;2;47.98;6;80
3.99;4;19.16;7;77
5.99;6;43.14;8;108
15.99;1;19.19;9;69
25.99;1;31.19;9;70
19.99;2;47.98;10;80
1.99;10;29.90;11;89
4.99;3;17.97;11;99
4.99;2;11.98;12;98
5.50;4;23.20;13;8
59.99;1;71.99;14;50
5.50;2;11.60;14;8
25.99;1;31.19;15;73
25.99;1;31.19;15;74
25.99;1;31.19;15;72
10.99;2;26.38;16;104
5.99;3;21.57;16;108
25.99;1;31.19;17;75
25.99;1;31.19;18;76
25.99;1;31.19;18;75
19.99;1;23.99;19;80
1.99;8;23.92;19;89
5.50;2;11.60;19;8
4.99;6;35.94;20;90
4.99;3;17.97;20;91
