idProduit;id_vendeur;idCategorie;libelle;descriptionProduit;idTVA;prixHT;prixTTC;nbAvis;note;estMasque;prixRemise;quantiteStock;seuilAlerte;quantiteUnite;unite
1;4;1;Confiture pomme caramel 500g;Délicieuse confiture pomme caramel 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.22;289;30;500;g
2;4;1;Confiture poire chocolat 500g;Délicieuse confiture poire chocolat 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;2.9;782;30;500;g
3;4;1;Confiture banane caramel au rhum 500g;Délicieuse confiture banane caramel au rhum 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;4.35;700;30;500;g
4;4;1;Confiture orange whisky 500g;Délicieuse confiture orange whisky 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;235;30;500;g
5;4;1;Confiture confit de cidre 500g;Délicieuse confiture confit de cidre 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;586;30;500;g
6;4;1;Confiture fraise au miel 500g;Délicieuse confiture fraise au miel 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;602;30;500;g
7;4;1;Confiture mûre 500g;Délicieuse confiture mûre 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;244;30;500;g
8;4;1;Confiture fruits rouges 500g;Délicieuse confiture fruits rouges 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;72;30;500;g
9;4;1;Confiture pêche 500g;Délicieuse confiture pêche 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;306;30;500;g
10;4;1;Confiture kiwi 500g;Délicieuse confiture kiwi 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;147;30;500;g
11;4;1;Pâte a tartiner caramel beurre salé au rhum 500g;Onctueuse pâte à tartiner caramel beurre salé au rhum 500g, idéale pour un petit-déjeuner gourmand.;1;5.99;6.23;0;null;false;6.23;83;30;500;g
12;4;1;Confiture de lait : noisette beurre salé 500g;Délicieuse confiture de lait : noisette beurre salé 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;987;30;500;g
13;4;1;Confiture de lait 500g;Délicieuse confiture de lait 500g, préparée avec des ingrédients de qualité pour un goût authentique.;1;5.5;5.8;0;null;false;5.8;753;30;500;g
14;19;1;Beurre salé 100g;Beurre salé traditionnel, parfait pour accompagner vos plats et tartines (beurre salé 100g).;1;3.99;4.2;0;null;false;4.2;332;30;100;g
15;19;1;Beurre salé 250g;Beurre salé traditionnel, parfait pour accompagner vos plats et tartines (beurre salé 250g).;1;4.5;4.75;0;null;false;4.75;114;30;250;g
16;19;1;Beurre salé 500g;Beurre salé traditionnel, parfait pour accompagner vos plats et tartines (beurre salé 500g).;1;4.99;5.26;0;null;false;5.26;783;30;500;g
17;19;1;Beurre salé 1000g;Beurre salé traditionnel, parfait pour accompagner vos plats et tartines (beurre salé 1000g).;1;5.99;6.23;0;null;false;6.23;864;30;1000;g
18;9;1;Cidre breton doux 75cl;Cidre breton doux, rafraîchissant et typique de Bretagne.;1;3.99;4.2;0;null;false;4.2;294;30;75;cl
19;9;1;Cidre breton brut 75cl;Cidre breton brut, rafraîchissant et typique de Bretagne.;1;3.99;4.2;0;null;false;4.2;372;30;75;cl
20;9;1;Cidre breton rosé 75cl;Cidre breton rosé, rafraîchissant et typique de Bretagne.;1;4.5;4.75;0;null;false;4.75;749;30;75;cl
21;9;1;Bière bretonne blanche 75cl;Bière artisanale bretonne blanche, savoureuse et authentique.;1;2.99;3.15;0;null;false;3.15;822;30;75;cl
22;9;1;Bière bretonne blonde 75cl;Bière artisanale bretonne blonde, savoureuse et authentique.;1;2.99;3.15;0;null;false;3.15;286;30;75;cl
23;9;1;Bière bretonne rousse 75cl;Bière artisanale bretonne rousse, savoureuse et authentique.;1;2.99;3.15;0;null;false;3.15;768;30;75;cl
24;9;1;Bière bretonne brune 75cl;Bière artisanale bretonne brune, savoureuse et authentique.;1;2.99;3.15;0;null;false;3.15;908;30;75;cl
25;9;1;Bière bretonne blé noir 75cl;Bière artisanale bretonne blé noir, savoureuse et authentique.;1;2.99;3.15;0;null;false;3.15;901;30;75;cl
26;4;1;Palet breton 800g;Spécialité bretonne : palet breton 800g, pour une pause gourmande et conviviale.;1;4.99;5.26;0;null;false;5.26;498;30;800;g
27;9;1;Chouchen 75cl;Boisson traditionnelle : chouchen 75cl, au goût unique et convivial.;1;2.99;3.15;0;null;false;3.15;656;30;75;cl
28;6;1;Gâteaux breton nature 350g;Spécialité bretonne : gâteaux breton nature 350g, pour une pause gourmande et conviviale.;1;3.99;4.2;0;null;false;4.2;847;30;350;g
